127.0.0.1 - - [02/Aug/2024:17:13:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:35 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/ManageAccount/showMyAccount.jsp?password=null HTTP/1.1" 200 11065
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:35 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:36 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/login/login.jsp HTTP/1.1" 200 12060
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:36 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:57 +0900] "POST /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/login/loginProc.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:58 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/main.jsp?mname=%EA%B4%80%EB%A6%AC%EC%9E%90&id=admin&mnum=1001 HTTP/1.1" 200 9265
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:58 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:59 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/admin/ManageMember/showMember.jsp HTTP/1.1" 200 14744
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:15:59 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:16:11 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/SearchBook/searchBookByBtitle.jsp?btitle2=%ED%95%B4 HTTP/1.1" 200 15320
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:16:11 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:16:11 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/script.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [02/Aug/2024:17:16:16 +0900] "GET /%EC%9D%B4%EC%98%88%EC%9B%90_2%EC%B0%A8%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8/user/ManageAccount/showMyAccount.jsp?password=1234 HTTP/1.1" 200 11625
